variant,workload,uuid,T,ref_ms,impl_ms,speedup
kv_split_xor_pdl_v3_pro_v2,1,0c23b10c,1,1.113,0.022,50.76
kv_split_xor_pdl_v3_pro_v2,2,9d4a5f21,2,1.356,0.022,61.70
kv_split_xor_pdl_v3_pro_v2,3,b7668cfd,2,1.387,0.023,61.00
kv_split_xor_pdl_v3_pro_v2,4,0a63b87b,2,1.375,0.022,62.40
kv_split_xor_pdl_v3_pro_v2,5,05f6de65,2,1.385,0.027,51.07
kv_split_xor_pdl_v3_pro_v2,6,fc85411e,2,1.348,0.023,58.89
kv_split_xor_pdl_v3_pro_v2,7,e6b849f2,2,1.386,0.022,62.98
kv_split_xor_pdl_v3_pro_v2,8,9f3f891b,2,1.378,0.027,51.54
kv_split_xor_pdl_v3_pro_v2,9,f77df5ce,2,1.350,0.022,61.64
kv_split_xor_pdl_v3_pro_v2,10,385742b2,8,2.900,0.034,86.15
kv_split_xor_pdl_v3_pro_v2,11,4c46a94b,8,2.795,0.032,86.99
kv_split_xor_pdl_v3_pro_v2,12,38389961,7,2.645,0.040,66.44
kv_split_xor_pdl_v3_pro_v2,13,02d6ae9c,8,2.844,0.037,77.08
kv_split_xor_pdl_v3_pro_v2,14,ddfa9e34,6,2.379,0.033,72.49
kv_split_xor_pdl_v3_pro_v2,15,78b2e11c,8,2.841,0.041,69.68
kv_split_xor_pdl_v3_pro_v2,16,68d6817d,6,2.330,0.022,105.80
kv_split_xor_pdl_v3_pro_v2,17,564007ac,8,2.896,0.047,62.14
kv_split_xor_pdl_v3_pro_v2,18,ae4219a9,7,2.602,0.036,72.32
kv_split_xor_pdl_v3_pro_v2,19,232ed014,8,2.868,0.040,72.34
kv_split_xor_pdl_v3_pro_v2,20,7a389715,8,2.833,0.033,85.61
kv_split_xor_pdl_v3_pro_v2,21,5096e459,8,2.902,0.050,58.60
kv_split_xor_pdl_v3_pro_v2,22,d57eb9e1,6,2.438,0.045,53.73
kv_split_xor_pdl_v3_pro_v2,23,2207f0fd,7,2.664,0.043,61.68
kv_split_xor_pdl_v3_pro_v2_bf16,1,0c23b10c,1,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,2,9d4a5f21,2,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,3,b7668cfd,2,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,4,0a63b87b,2,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,5,05f6de65,2,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,6,fc85411e,2,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,7,e6b849f2,2,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,8,9f3f891b,2,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,9,f77df5ce,2,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,10,385742b2,8,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,11,4c46a94b,8,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,12,38389961,7,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,13,02d6ae9c,8,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,14,ddfa9e34,6,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,15,78b2e11c,8,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,16,68d6817d,6,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,17,564007ac,8,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,18,ae4219a9,7,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,19,232ed014,8,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,20,7a389715,8,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,21,5096e459,8,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,22,d57eb9e1,6,0.000,0.000,0.00
kv_split_xor_pdl_v3_pro_v2_bf16,23,2207f0fd,7,0.000,0.000,0.00
